R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000420/S005252/P045554	درباره خواص آلیسین به عنوان آنتی‌بیوتیک ضد قارچ و ضد سرطان بررسی‌های مفصلی صورت گرفته است	D A R B AA R E Y E | KH A V AA S S E | AH AA L I S I N | B E | AH O N V AA N E | AH AA N T I B I Y U T I K | Z E D D E | Q AA R CH | V A | Z E D D E | S A R A T AA N | B A R R E S I H AA Y E | M O F A S S A L I | S U R A T | G E R E F T E | AH A S T	SIL | D A R B AA R E Y E | KH A V AA S S E | SIL | AH AA L I S I N | B E | AH O N V AA N E | AH AA N T I B I Y U T I K | SIL | Z E D D E | Q AA R CH | AH O | Z E D D E | S A R A T AA N | B A R R E S I H AA Y E | M O F A S S A L I | S U R A T | G E R E F T E | AH A S T
R000420/S005252/P045555	صاحب‌نظران سیاسی و احزاب و گروه‌های اصلاح‌طلب در چند روز اخیر بار دیگر از مسئولان امنیتی کشور خواسته‌اند تا تکلیف گروه‌های فشار را روشن سازند	S AA H E B N A Z A R AA N E | S I Y AA S I | V A | AH A H Z AA B | V A | G O R U H H AA Y E | AH E S L AA H T A L A B | D A R | CH A N D | R U Z E | AH A KH I R | B AA R E | D I G A R | AH A Z | M A S AH U L AA N E | AH A M N I Y Y A T I Y E | K E SH V A R | KH AA S T E AH A N D | T AA | T A K L I F E | G O R U H H AA Y E | F E SH AA R | R AA | R O SH A N | S AA Z A N D	SIL | S AA H E B N A Z A R AA N E | S I Y AA S I | AH O | AH A H Z AA B | V E | G O R U H H AA Y E | AH E S L AA H T A L A B | D A R | CH A N D | R U Z E | AH A KH I R | SIL | B AA R E | D I G A R | AH A Z | M A S AH U L AA N E | AH A M N I Y Y A T I | K E SH V A R | KH AA S T E AH A N D | T AA | SIL | T A K L I F E | G O R U H H AA Y E | F E SH AA R | R AA | R O SH A N | S AA Z A N D
R000420/S005252/P045556	در فرانسه رانندگی در حال مستی دو سال زندان دارد	D A R | F A R AA N S E | R AA N A N D E G I | D A R | H AA L E | M A S T I | D O | S AA L | Z E N D AA N | D AA R A D	SIL | D A R | F A R AA N S E | R AA N A N D E G I | D A R | H AA L E | M A S T I | D O | S AA L | Z E N D AA N | D AA R A D
R000420/S005252/P045557	این مطلب را آقای موسوی استاندار اصفهان در دیدار با مدیرکل و رؤسای ادارات پست استان اصفهان اعلام کرد	AH I N | M A T L A B | R AA | AH AA Q AA Y E | M U S A V I | AH O S T AA N D AA R E | AH E S F A H AA N | D A R | D I D AA R | B AA | M O D I R K O L L | V A | R O AH A S AA Y E | AH E D AA R AA T E | P O S T E | AH O S T AA N E | AH E S F A H AA N | AH E AH L AA M | K A R D	SIL | AH I N | M A T L A B | R AA | SIL | AH AA Q AA Y E | M U S A V I | SIL | AH O S T AA N D AA R E | AH E S F A H AA N | D A R | D I D AA R | B AA | M O D I R K O L L E | V A | SIL | R O AH A S AA Y E | SIL | AH E D AA R AA T E | P O S T E | AH O S T AA N E | AH E S F A H AA N | AH E AH L AA M | K A R D
R000420/S005252/P045558	این پاداش فقط مخصوص آخرت نیست بلکه در دنیا هم پاداش داده خواهد شد	AH I N | P AA D AA SH | F A Q A T | M A KH S U S E | AH AA KH E R A T | N I S T | B A L K E | D A R | D O N Y AA | H A M | P AA D AA SH | D AA D E | KH AA H A D | SH O D	SIL | AH I N | P AA D AA SH | F A Q A T | M A KH S U S E | SIL | AH AA KH E R A T | N I S T | SIL | B A L K E | D A R | D O N Y AA | H A M | P AA D AA SH | SIL | D AA D E | SIL | KH AA H A D | SH O D
R000420/S005252/P045560	منظورم گلادیاتورها شمشیربازی و نبردهای ویژه است	M A N Z U R A M | G E L AA D I Y AA T O R H AA | SH A M SH I R B AA Z I | V A | N A B A R D H AA Y E | V I ZH E | AH A S T	SIL | M A N Z U R A M | SIL | G E L AA D I Y AA T O R H AA | SH A M SH I R B AA Z I | V A | N A B A R D H AA Y E | V I ZH E | AH A S T
R000420/S005252/P045561	ایران و هلند بر گسترش همکاری مشترک در بخش آب تأکید کردند	AH I R AA N | V A | H O L A N D | B A R | G O S T A R E SH E | H A M K AA R I Y E | M O SH T A R A K | D A R | B A KH SH E | AH AA B | T A AH K I D | K A R D A N D	SIL | AH I R AA N | V E | H O L A N D | SIL | B A R | G O S T A R E SH E | H A M K AA R I | M O SH T A R E K | D A R | B A KH SH E | SIL | AH AA B | T A AH K I D | SIL | K A R D A N D | SIL
R000420/S005253/P045563	یک رشته فشارهای زیاد دنبال همین اتحاد شکل یک بود و جنایات	Y E K | R E SH T E | F E SH AA R H AA Y E | Z I Y AA D | D O N B AA L E | H A M I N | AH E T T E H AA D E | SH E K L | Y E K | B U D | V A | J E N AA Y AA T	SIL | Y E K | R E SH T E | F E SH AA R H AA Y E | Z I Y AA D | D O N B AA L E | H A M I N | AH E T T E H AA D E | SIL | SH E K L | SIL | Y E K | SIL | B U D | V E | SIL | J E N AA Y AA T | SIL
R000420/S005253/P045564	پخش دایمی به‌خودی‌خود که مثلاً در هر شب از سال انجام می‌شود و قالب سریالهایش حسی از حضور دایم را پدید می‌آورند	P A KH SH E | D AA Y E M I | B E KH O D I Y E KH O D | K E | M A S A L A N | D A R | H A R | SH A B | AH A Z | S AA L | AH A N J AA M | M I SH A V A D | V A | Q AA L E B E | S E R I Y AA L H AA Y A SH | H E S S I | AH A Z | H O Z U R E | D AA Y E M | R AA | P A D I D | M I AH AA V A R A N D	SIL | P A KH SH E | D AA Y E M I | B E KH O D I Y E KH O D | K E | M A S A L A N | D A R | H A R | SH A B | SIL | AH A Z | S AA L | SIL | AH A N J AA M | M I SH A V A D | SIL | V A | Q AA L E B E | SIL | S E R I Y AA L H AA Y A SH | H E S S I | AH A Z | SIL | H O Z U R E | D AA Y E M E | R AA | P A D I D | SIL | M I AH AA V A R A N D | SIL
R000420/S005253/P045567	تشنه شبنم نخستین کتاب از مجموعه جرعه‌ای از کوثر است	T E SH N E Y E | SH A B N A M | N O KH O S T I N | K E T AA B | AH A Z | M A J M U AH E Y E | J O R AH E Y I | AH A Z | K O S A R | AH A S T	SIL | T E SH N E Y E | SH A B N A M | N O KH O S T I N | K E T AA B | AH A Z | M A J M U AH E Y E | J O R AH E AH I | SIL | AH A Z | K O S A R | AH A S T
R000420/S005253/P045568	ضمن این که باید بوشهری هم می‌شدند	Z E M N E | AH I N | K E | B AA Y A D | B U SH E H R I | H A M | M I SH O D A N D	SIL | Z E M N E | AH I N | K E | B AA Y A D | B U SH E H R I | H A M M | M I SH O D A N D
R000420/S005253/P045569	با انتخاب دو کارپرداز و سه منشی ترکیب هیئت‌رئیسه فراکسیون جبهه دوم خرداد در مجلس شورای اسلامی کامل شد	B AA | AH E N T E KH AA B E | D O | K AA R P A R D AA Z | V A | S E | M O N SH I | T A R K I B E | H E Y AH A T R A AH I S E Y E | F E R AA K S I Y O N E | J E B H E Y E | D O V V O M E | KH O R D AA D | D A R | M A J L E S E | SH O R AA Y E | AH E S L AA M I | K AA M E L | SH O D	SIL | B AA | AH E N T E KH AA B E | D O | K AA R P A R D AA Z | SIL | V A | S E | M O N SH I | T A R K I B E | H E Y AH A T R A AH I S E Y E | SIL | F E R AA K S I Y O N | SIL | J E B H E Y E | D O V V O M E | KH O R D AA D | D A R | M A J L E S E | SH O R AA Y E | AH E S L AA M I | K AA M E L | SH O D
R000420/S005253/P045570	سعی می‌کند ازنو به یاد آورد	S A AH Y | M I K O N A D | AH A Z N O | B E | Y AA D | AH AA V A R A D	SIL | S A AH Y | M I K O N A D | AH A Z N O | B E | Y AA D | AH AA V A R A D
R000420/S005253/P045571	یکی دیگر از داستان‌های پهلوانی که سال‌ها دهان به دهان می‌گشت و داستانی پرحادثه دارد دارابنامه است	Y E K I | D I G A R | AH A Z | D AA S T AA N H AA Y E | P A H L A V AA N I | K E | S AA L H AA | D A H AA N | B E | D A H AA N | M I G A SH T | V A | D AA S T AA N I | P O R H AA D E S E | D AA R A D | D AA R AA B N AA M E | AH A S T	SIL | Y E K I | D I G A R | AH A Z | D AA S T AA N H AA Y E | P A H L A V AA N I | K E | S AA L H AA | D A H AA N | B E | D A H AA N | M I G A SH T | SIL | V A | D AA S T AA N I | P O R H AA D E S E | D AA R A D | SIL | D AA R AA B N AA M E | AH A S T
R000420/S005253/P045573	طالبان را کشورهای دیگر به رسمیت نمی‌شناسند	T AA L E B AA N | R AA | K E SH V A R H AA Y E | D I G A R | B E | R A S M I Y Y A T | N E M I SH E N AA S A N D	SIL | T AA L E B AA N | R AA | K E SH V A R H AA Y E | D I G A R | B E | R A S M I Y Y A T | SIL | N E M I SH E N AA S A N D
R000420/S005253/P045574	دکتر روزن پنجاه روش خود را برای ما جهت کمک به بیماران سرطانی که تحت شیمی‌درمانی هستند مدل‌سازی کرد	D O K T O R | R O Z A N | P A N J AA H | R A V E SH E | KH O D | R AA | B A R AA Y E | M AA | J A H A T E | K O M A K | B E | B I M AA R AA N E | S A R A T AA N I | K E | T A H T E | SH I M I D A R M AA N I | H A S T A N D | M O D E L S AA Z I | K A R D	SIL | D O K T O R | SIL | R O Z A N | P A N J AA H | R A V E SH E | KH O D | R AA | B A R AA Y E | M AA | SIL | J A H A T E | K O M A K | B E | B I M AA R AA N E | S A R A T AA N I | K E H | SIL | T A H T E | SH I M I D A R M AA N I | H A S T A N D | SIL | M O D E L S AA Z I | K A R D | SIL
R000420/S005253/P045575	تشکیل جبهه ضد خشونت و پیگیری راهکارهای فکری و سیاسی در این جهت ضروری است	T A SH K I L E | J E B H E Y E | Z E D D E | KH O SH U N A T | V A | P E Y G I R I Y E | R AA H K AA R H AA Y E | F E K R I | V A | S I Y AA S I | D A R | AH I N | J A H A T | Z A R U R I | AH A S T	SIL | T A SH K I L E | J E B H E | Z E D D E | KH O SH U N A T | SIL | V A | P E Y G I R I Y E | R AA H K AA R H AA Y E | F E K R I | AH O | S I Y AA S I | SIL | D A R | AH I N | SIL | J A H A T | Z A R U R I | AH A S T
R000420/S005253/P045576	پروردگار ما را از جمله کسانی که به آنها سرباز دین و اسلام گفته می‌شود قرار بده	P A R V A R D E G AA R | M AA | R AA | AH A Z | J O M L E Y E | K A S AA N I | K E | B E | AH AA N H AA | S A R B AA Z E | D I N | V A | AH E S L AA M | G O F T E | M I SH A V A D | Q A R AA R | B E D E	SIL | P A R V A R D E G AA R | SIL | M AA | R AA | AH A Z | J O M L E | K A S AA N I | K E | B E | AH AA N H AA | S A R B AA Z E | D E Y N | V E | SIL | AH E S L AA M | SIL | G O F T E | M I SH A V A D | Q A R AA R | B E D E | SIL
R000420/S005253/P045577	بنابراین باید دید که اسرائیل چه می‌خواهد بکند و این بر عهده خود حزب‌الله است که آینده خودش را ترسیم کند	B A N AA B A R AH I N | B AA Y A D | D I D | K E | AH E S R AA AH I L | CH E | M I KH AA H A D | B E K O N A D | V A | AH I N | B A R | AH O H D E Y E | KH O D E | H E Z B O L L AA H | AH A S T | K E | AH AA Y A N D E Y E | KH O D A SH | R AA | T A R S I M | K O N A D	SIL | B A N AA B A R AH I N | B AA Y A D | D I D | K E | AH E S R AA AH I L | CH E | M I KH AA H A D | B E K O N A D | SIL | V E | SIL | AH I N | B A R | AH O H D E Y E | KH O D | SIL | H E Z B O L L AA H | SIL | AH A S T | SIL | K E H | AH AA Y A N D E | SIL | KH O D A SH | R AA | SIL | T A R S I M | K O N A D
R000420/S005254/P045579	در روزگار سنگربندیهای حزبی در محیط دانشگاهی در دوره جنگ و جهاد و پس از آن همواره پشتوانه اساسی برای نظام و انقلاب بوده‌اند	D A R | R U Z E G AA R E | S A N G A R B A N D I H AA Y E | H E Z B I | D A R | M O H I T E | D AA N E SH G AA H I | D A R | D O R E Y E | J A N G | V A | J A H AA D | V A | P A S | AH A Z | AH AA N | H A M V AA R E | P O SH T V AA N E Y E | AH A S AA S I | B A R AA Y E | N E Z AA M | V A | AH E N Q E L AA B | B U D E AH A N D	SIL | D A R | R U Z E G AA R E | S A N G A R B A N D I H AA Y E | H E Z B I | SIL | D A R | M O H I T E | D AA N E SH G AA H I | SIL | D A R | D O R E Y E | SIL | J A N G | V E | SIL | J A H AA D | SIL | V A | P A S | AH A Z | SIL | AH AA N | H A M V AA R E | SIL | P O SH T V AA N E Y E | AH A S AA S I | B A R AA Y E | N E Z AA M | AH O | AH E N Q E L AA B | SIL | B U D E AH A N D | SIL
R000420/S005254/P045581	خیرالله رنگ از رویش پرید	KH E Y R O L L AA H | R A N G | AH A Z | R U Y E SH | P A R I D	SIL | KH E Y R O L L AA H | R A N G | AH A Z | R U Y E SH | P A R I D
R000420/S005254/P045582	تاریخ بنای شهر را به زمان ساسانیان نسبت می‌دهند	T AA R I KH E | B A N AA Y E | SH A H R | R AA | B E | Z A M AA N E | S AA S AA N I Y AA N | N E S B A T | M I D A H A N D	SIL | T AA R I KH E | B A N AA Y E | SH A H R E | R AA | B E | Z A M AA N E | S AA S AA N I Y AA N E | N E S B A T | M I D A H A N D | SIL
R000420/S005254/P045583	اون قدیم زمان ما آدم جوون نمی‌مرد	AH U N | Q A D I M | Z A M AA N E | M AA | AH AA D A M E | J A V U N | N E M I M O R D	SIL | AH U N | Q A D I M | Z A M AA N E | M AA | SIL | AH AA D A M | J A V U N | N E M I M O R D | SIL
R000420/S005254/P045584	موضوع این برنامه در خصوص دانشجویی به نام رؤیا است که سال آخر عکاسی است و از بازار تخم‌مرغ بزرگ و عجیبی خریده و آن را به عنوان یک سوژه عکاسی با خود به تهران می‌آورد	M O Z U AH E | AH I N | B A R N AA M E | D A R | KH O S U S | D AA N E SH J U Y I | B E | N AA M E | R O AH Y AA | AH A S T | K E | S AA L E | AH AA KH A R E | AH A K K AA S I | AH A S T | V A | AH A Z | B AA Z AA R | T O KH M E M O R Q E | B O Z O R G | V A | AH A J I B I | KH A R I D E | V A | AH AA N | R AA | B E | AH O N V AA N E | Y E K | S U ZH E Y E | AH A K K AA S I | B AA | KH O D | B E | T E H R AA N | M I AH AA V A R A D	SIL | M O Z U AH E | AH I N | B A R N AA M E | D A R | KH O S U S E | D AA N E SH J U Y I | B E | N AA M E | R O AH Y AA | AH A S T | SIL | K E H | S AA L | AH AA KH A R E | AH A K K AA S I | AH A S T | V A | AH A Z | B AA Z AA R | SIL | T O KH M E M O R Q E | B O Z O R G | V E | SIL | AH A J I B I | KH A R I D E | SIL | V A | AH AA N | SIL | R AA | B E | AH O N V AA N E | Y E K | S U ZH E | AH A K K AA S I | B AA | KH O D | B E | T E H R AA N | M I AH AA V A R A D | SIL
R000420/S005254/P045585	نقاط مرتفع کبیرکوه سردسیر است و درجه حرارت‌های زیر صفر در آن جا مشاهده شده است	N O Q AA T E | M O R T A F A AH E | K A B I R K U H | S A R D S I R | AH A S T | V A | D A R A J E Y E | H A R AA R A T H AA Y E | Z I R E | S E F R | D A R | AH AA N | J AA | M O SH AA H E D E | SH O D E | AH A S T	SIL | N O Q AA T | SIL | M O R T A F E AH E | K A B I R K U H | SIL | S A R D S I R E | AH A S T | SIL | V A | D A R A J E Y E | H A R AA R A T H AA Y E | Z I R | S E F R E | SIL | D A R | AH AA N | J AA | M O SH AA H E D E | SH O D E | AH A S T
R000420/S005254/P045586	انتخاب نمایندگان شورای دبیران برای شرکت در کمیته حمایت و نظارت بر انجمن‌های علمی دانشجویی دانشگاه موضوع ماده پنج این آیین‌نامه	AH E N T E KH AA B E | N A M AA Y A N D E G AA N E | SH O R AA Y E | D A B I R AA N | B A R AA Y E | SH E R K A T | D A R | K O M I T E Y E | H E M AA Y A T | V A | N E Z AA R A T | B A R | AH A N J O M A N H AA Y E | AH E L M I | D AA N E SH J U Y I Y E | D AA N E SH G AA H | M O Z U AH E | M AA D D E Y E | P A N J | AH I N | AH AA Y I N N AA M E	SIL | AH E N T E KH AA B E | N A M AA Y A N D E G AA N E | SH O R AA Y E | D A B I R AA N | SIL | B A R AA Y E | SH E R K A T | D A R | K O M I T E Y E | H E M AA Y A T | V E | N E Z AA R A T | SIL | B A R | AH A N J O M A N H AA Y E | AH E L M I Y E | D AA N E SH J U Y I Y E | D AA N E SH G AA H | SIL | M O Z U AH E | M AA D D E Y E | P A N J E | AH I N | AH AA Y I N N AA M E
R000420/S005254/P045587	آقای محمودی یادآور شد قدر این همدلی و وحدت را بدانید چراکه در بعضی از نقاط استان این هماهنگی وجود ندارد	AH AA Q AA Y E | M A H M U D I | Y AA D AH AA V A R | SH O D | Q A D R E | AH I N | H A M D E L I | V A | V A H D A T | R AA | B E D AA N I D | CH E R AA K E | D A R | B A AH Z I | AH A Z | N O Q AA T E | AH O S T AA N | AH I N | H A M AA H A N G I | V O J U D | N A D AA R A D	SIL | AH AA Q AA Y E | M A H M U D I | Y AA D AH AA V A R | SIL | SH O D | SIL | Q A D R E | AH I N | H A M D E L I | V A | V A H D A T | R AA | B E D AA N I D | CH E R AA K E | D A R | B A AH Z I | AH A Z | N O Q AA T E | SIL | AH O S T AA N | AH I N | H A M AA H A N G I | V O J U D | SIL | N A D AA R A D | SIL
R000420/S005254/P045588	بر اساس نوشته این روزنامه چاپ تهران در توزیع این نوارهای ویدئویی شماری از استانداران نیز دخالت داشته‌اند	B A R | AH A S AA S E | N E V E SH T E Y E | AH I N | R U Z N AA M E | CH AA P P E | T E H R AA N | D A R | T O Z I AH E | AH I N | N A V AA R H AA Y E | V I D E AH O Y I | SH O M AA R I | AH A Z | AH O S T AA N D AA R AA N | N I Z | D E KH AA L A T | D AA SH T E AH A N D	SIL | B A R | AH A S AA S E | N E V E SH T E | AH I N | SIL | R U Z N AA M E | SIL | CH AA P E | T E H R AA N | D A R | T O Z I AH E | AH I N | N A V AA R H AA Y E | V I D E AH O Y I Y E | SH O M AA R I Y E | AH A Z | AH O S T AA N D AA R AA N | N I Z | D E KH AA L A T | D AA SH T E AH A N D | SIL
R000420/S005254/P045589	در پاسخ به این شرارت‌ها رزمندگان مقاومت اسلامی بعدازظهر دیروز سه‌شنبه هشت پایگاه نظامیان صهیونیستی و مزدوران آنان را در بخش اشغالی جنوب لبنان مورد حمله قرار دادند	D A R | P AA S O KH | B E | AH I N | SH A R AA R A T H AA | R A Z M A N D E G AA N E | M O Q AA V E M A T E | AH E S L AA M I | B A AH D A Z Z O H R E | D I R U Z | S E SH A N B E | H A SH T | P AA Y G AA H E | N E Z AA M I Y AA N E | S E H Y O N I S T I | V A | M O Z D U R AA N E | AH AA N AA N | R AA | D A R | B A KH SH E | AH E SH Q AA L I Y E | J O N U B E | L O B N AA N | M O R E D E | H A M L E | Q A R AA R | D AA D A N D	D A R | P AA S O KH | B E | AH I N | SH A R AA R A T H AA | R A Z M A N D E G AA N E | M O Q AA V E M A T | AH E S L AA M I | SIL | B A AH D A Z Z O H R E | D I R U Z | S E SH A N B E | SIL | H A SH T E | P AA Y G AA H E | N E Z AA M I Y AA N E | S A H Y U N I S T I | SIL | V A | M O Z D U R AA N E | SIL | AH AA N AA N | SIL | R AA | SIL | D A R | B A KH SH E | AH E SH Q AA L I Y E | J O N U B E | L O B N AA N | M O R E D E | SIL | H A M L E | Q A R AA R | D AA D A N D
R000420/S005254/P045590	در منطقه انتظامی کاشمر نیز از بازرسی یک دستگاه کامیون در ایستگاه قلعه مقدار دویست و پنجاه و پنج کیلوگرم تریاک کشف شد	D A R | M A N T A Q E Y E | AH E N T E Z AA M I Y E | K AA SH M A R | N I Z | AH A Z | B AA Z R A S I Y E | Y E K | D A S T G AA H | K AA M I Y O N | D A R | AH I S T G AA H E | Q A L AH E | M E Q D AA R E | D E V I S T | V A | P A N J AA H | V A | P A N J | K I L U G E R A M | T E R Y AA K | K A SH F | SH O D	SIL | D A R | M A N T A Q E Y E | AH E N T E Z AA M I Y E | K AA SH M A R | N I Z | AH A Z | B AA Z R A S I Y E | Y E K | D A S T G AA H E | SIL | K AA M I Y O N | D A R | AH I S T G AA H E | Q A L AH E | SIL | M E Q D AA R E | D E V I S T | V E | SIL | P A N J AA H | V E | SIL | P A N J | SIL | K I L U G E R A M | T A R Y AA K | SIL | K A SH F | SH O D | SIL
